"","plot_quad","AGHE","ALAC","ANLU","BA_0","BROM","BRTE","CAQU","CATE","CLLI","COPA","DAUN","DEDA","DEDI","DODE","EPBR","JUNC","LEAF","LITH","LITT","LOLE","LONU","MADI","MAMI","MIGR","NAVA","NEPA","POAC","PODO","POPO","POSE","PSSP","SAAN","SEST","SIID","TRGR","TRMA","TROB","VEDU","ZICO"
"206","SEEP01_C.6",2,0,0,0,0,0,0,0.25,0,0,0,6,0,0,0.25,0,0,0,0,48,0,1,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,18,0
"207","SEEP01_C.7",1,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0.25,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0
"208","SEEP01_CC1",1,0,0,0,5,0,0,1,0,0,0,0,0,0,1,8,0,0,0,13,0,2,0,0,1,0,0,0,0,11,0,6,0,0,0,1,0,16,0
"209","SEEP01_CC2",1,0,5,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,18,0,7,0
"210","SEEP01_CC3",3,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"221","SEEP02_C.1",7,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,57,0
"222","SEEP02_C.2",0,0,0,0,27,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,31,0
"223","SEEP02_C.3",0,0,0,0,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,1,0,0,0,0.25,0,0,0,0,11,0,0,0,0,0,0,0,62,0
"224","SEEP02_C.4",4,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,33,0
"225","SEEP02_C.5",0,0,0,0,7,0,0,0,0,0,5,2,0,0,0,33,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"226","SEEP02_C.6",1,0,0,0,0,0,0,0,0,0,10,1,0,0,1,32,0,0,0,3,0,1,0,0,0,0,0,0.25,0,6,0,0,0,0,0,0,0,55,0
"227","SEEP02_C.7",1,0,0,0,0,0,0,0,0,0,8,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0.25,11,0,0,0,0,0,0,0,37,0
"228","SEEP02_CC1",0,0,0,0,14,0,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,17,0
"229","SEEP02_CC2",4,0,3,0,3,0,0,0,0,0,1,0,0,0,0,17,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,25,0
"230","SEEP02_CC3",2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,18,0
"241","SEEP03_C.1",0,0,0,0,0,0,0,0,0,0,2,2,17,3,0,6,8,0,0,10,0,0,0,0,0,0,0,0,0,2,0,2,0,0,21,0,0,23,0
"242","SEEP03_C.2",0,0,0,0.25,2,0,0,0.25,0,0,2,4,5,7,0,0,36,0,0,1,0,0,0,0,2,0.25,0,0.25,0,7,0,0,0,0,2,0,0,9,4
"243","SEEP03_C.3",0,0,0,0,1,0,0,1,0,0,0,1,11,6,1,27,11,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,5,9,3
