plot_quad,AGHE2,ALAC4,ANLU2,HEPU6,BRAR5,BRTE,CAQU2,CATE26,MOLI4,COPA3,DAUN,DEDA,DEDI11,DODEC,EPBR3,JUTE,ALLIU,LIGL2,ELBE,LOBIL,LONU2,MAGR3,HEMI20,MIGR,NAVAR,NEPA,POAC,PODO4,POPO4,POSE,PSSP6,SAAN2,SEST2,SIID,TRGR7,TRMA3,TROB,VEDU,ZIVE
ARRI02_C.7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0
ARRI03_C.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,15,0,0,0,0,0,0,0,37,0
ARRI03_C.2,1,0,0,0,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0
ARRI03_C.3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0.25,0,0,0,0,19,0
ARRI03_C.4,2,0,0,0,3,0,0,0,0.25,0,8,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,35,0
ARRI03_C.5,1,0,0,0,4,0,0,0,0,0,13,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,18,0
ARRI03_C.6,1,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,8,0,0,2,0,0,0,0,17,0
ARRI03_C.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,32,0
ARRI04_C.1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,45,0
ARRI04_C.2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,15,0
ARRI04_C.3,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,23,0
ARRI04_C.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,36,0
ARRI04_C.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,27,0
ARRI04_C.6,0.25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,10,0,0,0,0,0,0,0,18,0
ARRI04_C.7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,24,0
